"This product is out of stock.","This product is unavailable"
"The coupon code isn't valid. Verify the code and try again.","The Promo Code isn't valid. Verify the code and try again."
"Configuration changes will be applied by consumer soon.","Your changes have been saved and will take a few minutes to appear."
